Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                  93",4.320528187256e-02,2.243080977851e-01,9.507615850464e-02,1.292319392805e-01,-1.707789038793e-02
"                  94",4.330803429041e-02,2.239071888505e-01,9.489940899510e-02,1.290077798554e-01,-1.705418543013e-02
"                  95",4.328219089134e-02,2.233773670507e-01,9.466550384030e-02,1.287118632104e-01,-1.702317968505e-02
"                  96",4.317215740988e-02,2.228451270479e-01,9.443889089392e-02,1.284062361540e-01,-1.698367263004e-02
"                  97",4.323714888586e-02,2.222775275660e-01,9.420392231183e-02,1.280736052542e-01,-1.693484147118e-02
"                  98",4.311060097169e-02,2.216597379491e-01,9.394198120556e-02,1.277177567436e-01,-1.688788776901e-02
"                  99",4.290209339391e-02,2.209621573980e-01,9.365233457836e-02,1.273098228196e-01,-1.682874412064e-02
"                 100",4.285006787297e-02,2.200943721998e-01,9.329116762680e-02,1.268032045729e-01,-1.675601847307e-02
"                 101",4.260696147289e-02,2.192359949081e-01,9.294763793412e-02,1.262883569740e-01,-1.667035951995e-02
"                 102",4.245068939246e-02,2.183424506120e-01,9.259952312319e-02,1.257429274888e-01,-1.657170218279e-02
"                 103",4.230306603325e-02,2.174448425130e-01,9.224795153847e-02,1.251968909745e-01,-1.647446971803e-02
"                 104",4.241234035159e-02,2.165310863195e-01,9.188726446281e-02,1.246438218567e-01,-1.637827869694e-02
"                 105",4.208672162165e-02,2.157948055544e-01,9.158846413537e-02,1.242063414190e-01,-1.630893864182e-02
"                 106",4.207697208602e-02,2.150388545253e-01,9.128197952487e-02,1.237568750005e-01,-1.623744773780e-02
"                 107",4.185463282739e-02,2.143215959997e-01,9.098893806389e-02,1.233326579358e-01,-1.617185993596e-02
"                 108",4.179932520965e-02,2.135619145806e-01,9.067863847387e-02,1.228832761068e-01,-1.610231881644e-02
"                 109",4.174112681946e-02,2.129362737536e-01,9.042221742359e-02,1.225140563300e-01,-1.604591945320e-02
"                 110",4.154168329979e-02,2.122868289736e-01,9.013077718718e-02,1.221560517864e-01,-1.601263729960e-02
"                 111",4.150636486115e-02,2.117994294458e-01,8.989471227522e-02,1.219047171706e-01,-1.600500244770e-02
"                 112",4.163597846953e-02,2.113971312960e-01,8.968295142580e-02,1.217141798702e-01,-1.601561422220e-02
"                 113",4.173388221553e-02,2.113223513693e-01,8.961147358285e-02,1.217108777865e-01,-1.604970210180e-02
"                 114",4.186751943752e-02,2.114370208703e-01,8.961847393508e-02,1.218185469352e-01,-1.610003650006e-02
"                 115",4.203862059298e-02,2.116450037304e-01,8.966286163523e-02,1.219821420951e-01,-1.615964022995e-02
"                 116",4.228933497170e-02,2.116721618931e-01,8.961952431705e-02,1.220526375761e-01,-1.621655662952e-02
"                 117",4.237506809128e-02,2.117710262268e-01,8.960204423616e-02,1.221689819907e-01,-1.628346887726e-02
"                 118",4.246903046667e-02,2.118093039679e-01,8.954961542878e-02,1.222596885391e-01,-1.635503655518e-02
"                 119",4.275873035014e-02,2.117719456524e-01,8.945798000726e-02,1.223139656452e-01,-1.642799281896e-02
"                 120",4.287481708777e-02,2.118511226581e-01,8.941408959547e-02,1.224370330627e-01,-1.651147173359e-02
"                 121",4.307800713051e-02,2.120950888948e-01,8.944122049335e-02,1.226538684015e-01,-1.660632395406e-02
"                 122",4.341283460323e-02,2.123460524211e-01,8.946092401666e-02,1.228851284044e-01,-1.671210219389e-02
"                 123",4.365449561662e-02,2.126054829901e-01,8.948267920922e-02,1.231228037809e-01,-1.682006228584e-02
"                 124",4.382513181928e-02,2.128256471455e-01,8.948975327559e-02,1.233358938699e-01,-1.692307029714e-02
"                 125",4.419342249123e-02,2.129900143546e-01,8.946062225137e-02,1.235293921032e-01,-1.703438492593e-02
